Designator,Mid X,Mid Y,Layer,Rotation
C1,158.650000mm,-86.600000mm,Top,0
C2,155.754000mm,-80.260000mm,Top,90
C3,180.962646mm,-95.146581mm,Top,315
C4,168.108485mm,-85.991092mm,Top,45
C5,167.401379mm,-85.283985mm,Top,45
C6,163.038530mm,-93.253079mm,Top,225
C7,162.345565mm,-92.531830mm,Top,225
C8,170.717151mm,-102.147923mm,Top,315
C9,169.989589mm,-102.864589mm,Top,315
C10,178.792869mm,-96.307780mm,Top,225
C11,179.560000mm,-97.100000mm,Top,225
C12,178.935399mm,-92.640564mm,Top,225
C13,175.625030mm,-86.246209mm,Top,315
C14,174.917924mm,-86.953316mm,Top,315
C15,161.818771mm,-91.220147mm,Top,45
C16,167.560478mm,-102.491429mm,Top,45
C17,182.073844mm,-89.166001mm,Top,225
C18,177.831204mm,-84.923361mm,Top,45
C19,74.958000mm,-89.154000mm,Top,180
C20,81.816000mm,-87.630000mm,Top,0
C21,165.650000mm,-77.100000mm,Top,180
C22,105.976000mm,-86.610000mm,Top,180
C23,173.890000mm,-81.750000mm,Top,180
C24,105.184000mm,-78.232000mm,Top,180
C25,95.250000mm,-78.994000mm,Top,270
C26,87.100000mm,-93.060000mm,Top,0
C27,91.020000mm,-93.060000mm,Top,180
C28,77.830000mm,-103.430000mm,Top,180
C29,116.330000mm,-84.140000mm,Top,90
C30,106.390000mm,-81.800000mm,Top,90
C31,116.320000mm,-86.150000mm,Top,270
C32,68.072000mm,-83.820000mm,Top,0
C33,105.790000mm,-83.900000mm,Top,0
C34,64.990000mm,-104.670000mm,Top,0
C35,73.830000mm,-107.600000mm,Top,180
C36,143.075000mm,-103.675000mm,Top,180
C37,129.970000mm,-104.960000mm,Top,0
C38,138.475000mm,-107.325000mm,Top,180
C39,99.690000mm,-103.540000mm,Top,180
C40,123.530000mm,-103.360000mm,Top,0
C41,86.630000mm,-105.120000mm,Top,0
C42,108.080000mm,-104.890000mm,Top,0
C43,95.590000mm,-107.530000mm,Top,180
C44,117.050000mm,-107.535000mm,Top,180
C45,57.432000mm,-96.012000mm,Top,180
C46,55.118000mm,-81.054000mm,Top,90
C47,53.622000mm,-102.362000mm,Top,270
C48,196.596000mm,-85.344000mm,Top,180
C49,202.410000mm,-88.900000mm,Top,180
C50,204.470000mm,-82.042000mm,Top,0
C51,196.822000mm,-104.902000mm,Top,0
C52,193.686000mm,-104.902000mm,Top,0
C53,195.326000mm,-97.790000mm,Top,90
C54,105.198000mm,-91.030000mm,Top,180
C55,105.198000mm,-92.046000mm,Top,180
C56,68.072000mm,-82.804000mm,Top,180
C57,73.406000mm,-89.570000mm,Top,270
D1,193.300000mm,-109.550000mm,Top,0
D2,147.800000mm,-79.230000mm,Top,90
F1,154.044000mm,-83.682500mm,Top,90
FB1,155.804000mm,-83.800000mm,Top,90
FB2,174.799483mm,-84.150846mm,Top,45
FB3,103.839500mm,-81.788000mm,Top,0
FB4,96.266000mm,-83.058000mm,Top,180
FB5,87.120000mm,-89.560000mm,Top,0
FB6,91.020000mm,-89.560000mm,Top,180
FB7,104.407500mm,-89.650000mm,Top,180
HSE1,179.987879mm,-87.080036mm,Top,135
R1,178.099904mm,-97.707851mm,Top,315
R2,177.670000mm,-88.690000mm,Top,45
R3,151.150000mm,-85.070000mm,Top,0
R4,186.944000mm,-87.376000mm,Top,90
R5,163.102169mm,-88.098270mm,Top,225
R6,161.744524mm,-89.484199mm,Top,45
R7,94.488000mm,-81.026000mm,Top,180
R8,104.394000mm,-79.756000mm,Top,180
R9,91.020000mm,-91.560000mm,Top,0
R10,87.120000mm,-91.560000mm,Top,180
R11,43.800000mm,-101.910000mm,Top,90
R12,69.699500mm,-87.376000mm,Top,180
R13,70.612000mm,-81.026000mm,Top,0
R14,82.550000mm,-82.550000mm,Top,180
R15,188.300000mm,-102.500000mm,Top,90
R16,155.400000mm,-99.900000mm,Top,0
R17,66.012000mm,-103.544000mm,Top,180
R18,73.840000mm,-108.600000mm,Top,180
R19,131.040000mm,-103.875000mm,Top,180
R20,138.475000mm,-108.350000mm,Top,180
R21,87.560000mm,-103.810000mm,Top,180
R22,109.130000mm,-103.695000mm,Top,180
R23,95.590000mm,-108.530000mm,Top,180
R24,117.050000mm,-108.585000mm,Top,180
R25,56.134000mm,-81.024000mm,Top,90
R26,54.610000mm,-102.362000mm,Top,270
R27,200.406000mm,-88.900000mm,Top,0
R28,204.470000mm,-83.058000mm,Top,0
R29,196.754000mm,-103.896000mm,Top,0
R30,193.706000mm,-103.886000mm,Top,0
R31,73.048500mm,-83.566000mm,Top,0
R32,71.882000mm,-90.170000mm,Top,270
R33,124.738000mm,-80.802000mm,Top,180
U1,161.264000mm,-81.720000mm,Top,180
U2,170.901557mm,-93.705627mm,Top,135
U3,142.750000mm,-78.970000mm,Top,180
U4,78.810000mm,-106.000000mm,Top,0
U6,144.050000mm,-106.050000mm,Top,0
U7,110.650000mm,-85.100000mm,Top,0
U8,100.280000mm,-106.100000mm,Top,0
U9,121.975000mm,-106.000000mm,Top,0
U10,58.504000mm,-98.552000mm,Top,0
U11,197.104000mm,-87.884000mm,Top,180
U12,195.326000mm,-101.092000mm,Top,90
