Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",158.650000,-86.600000,0.000000,top
"C2","10u","C_0805_2012Metric",155.754000,-80.260000,90.000000,top
"C3","10u","C_0603_1608Metric",180.962646,-95.146581,315.000000,top
"C4","100nf","C_0402_1005Metric",168.108485,-85.991092,45.000000,top
"C5","100nf","C_0402_1005Metric",167.401379,-85.283985,45.000000,top
"C6","100nf","C_0402_1005Metric",163.038530,-93.253079,225.000000,top
"C7","100nf","C_0402_1005Metric",162.345565,-92.531830,225.000000,top
"C8","100nf","C_0402_1005Metric",170.717151,-102.147923,315.000000,top
"C9","100nf","C_0402_1005Metric",169.989589,-102.864589,315.000000,top
"C10","100nf","C_0402_1005Metric",178.792869,-96.307780,225.000000,top
"C11","100nf","C_0402_1005Metric",179.560000,-97.100000,225.000000,top
"C12","100nf","C_0402_1005Metric",178.935399,-92.640564,225.000000,top
"C13","100nf","C_0402_1005Metric",175.625030,-86.246209,315.000000,top
"C14","10n","C_0402_1005Metric",174.917924,-86.953316,315.000000,top
"C15","2.2u","C_0603_1608Metric",161.818771,-91.220147,45.000000,top
"C16","2.2u","C_0603_1608Metric",167.560478,-102.491429,45.000000,top
"C17","12p","C_0402_1005Metric",182.073844,-89.166001,225.000000,top
"C18","12p","C_0402_1005Metric",177.831204,-84.923361,45.000000,top
"C19","1uF 16v","C_0402_1005Metric",74.958000,-89.154000,180.000000,top
"C20","1uF","C_0402_1005Metric",81.816000,-87.630000,0.000000,top
"C21","100nf","C_0402_1005Metric",165.650000,-77.100000,180.000000,top
"C22","4.7uF","C_0402_1005Metric",105.976000,-86.610000,180.000000,top
"C23","100nf","C_0402_1005Metric",173.890000,-81.750000,180.000000,top
"C24","10uF","C_0402_1005Metric",105.184000,-78.232000,180.000000,top
"C25","10uF","C_0402_1005Metric",95.250000,-78.994000,270.000000,top
"C26","10uF","C_0402_1005Metric",87.100000,-93.060000,0.000000,top
"C27","10uF","C_0402_1005Metric",91.020000,-93.060000,180.000000,top
"C28","100nf","C_0402_1005Metric",77.830000,-103.430000,180.000000,top
"C29","4.7uF","C_0402_1005Metric",116.330000,-84.140000,90.000000,top
"C30","4.7uF","C_0402_1005Metric",106.390000,-81.800000,90.000000,top
"C31","4.7uF","C_0402_1005Metric",116.320000,-86.150000,270.000000,top
"C32","1uF 16v","C_0402_1005Metric",68.072000,-83.820000,0.000000,top
"C33","4.7uF","C_0402_1005Metric",105.790000,-83.900000,0.000000,top
"C34","10nf","C_0402_1005Metric",64.990000,-104.670000,0.000000,top
"C35","10nf","C_0402_1005Metric",73.830000,-107.600000,180.000000,top
"C36","100nf","C_0402_1005Metric",143.075000,-103.675000,180.000000,top
"C37","10nf","C_0402_1005Metric",129.970000,-104.960000,0.000000,top
"C38","10nf","C_0402_1005Metric",138.475000,-107.325000,180.000000,top
"C39","100nf","C_0402_1005Metric",99.690000,-103.540000,180.000000,top
"C40","100nf","C_0402_1005Metric",123.530000,-103.360000,0.000000,top
"C41","10nf","C_0402_1005Metric",86.630000,-105.120000,0.000000,top
"C42","10nf","C_0402_1005Metric",108.080000,-104.890000,0.000000,top
"C43","10nf","C_0402_1005Metric",95.590000,-107.530000,180.000000,top
"C44","10nf","C_0402_1005Metric",117.050000,-107.535000,180.000000,top
"C45","100nf","C_0402_1005Metric",57.432000,-96.012000,180.000000,top
"C46","10nf","C_0402_1005Metric",55.118000,-81.054000,90.000000,top
"C47","10nf","C_0402_1005Metric",53.622000,-102.362000,270.000000,top
"C48","100nf","C_0402_1005Metric",196.596000,-85.344000,180.000000,top
"C49","10nf","C_0402_1005Metric",202.410000,-88.900000,180.000000,top
"C50","10nf","C_0402_1005Metric",204.470000,-82.042000,0.000000,top
"C51","10nf","C_0402_1005Metric",196.822000,-104.902000,0.000000,top
"C52","10nf","C_0402_1005Metric",193.686000,-104.902000,0.000000,top
"C53","100nf","C_0402_1005Metric",195.326000,-97.790000,90.000000,top
"C54","100nf","C_0402_1005Metric",105.198000,-91.030000,180.000000,top
"C55","10n","C_0402_1005Metric",105.198000,-92.046000,180.000000,top
"C56","1uF 16v","C_0402_1005Metric",68.072000,-82.804000,180.000000,top
"C57","1uF 16v","C_0402_1005Metric",73.406000,-89.570000,270.000000,top
"D1","B5819W","D_SOD-123",193.300000,-109.550000,0.000000,top
"D2","B5819W","D_SOD-123",147.800000,-79.230000,90.000000,top
"F1","500mA","Fuse_0603_1608Metric",154.044000,-83.682500,90.000000,top
"FB1","100 @ 100MHz","L_0805_2012Metric",155.804000,-83.800000,90.000000,top
"FB2","100 @ 100MHz","L_0805_2012Metric",174.799483,-84.150846,45.000000,top
"FB3","100","L_0805_2012Metric",103.839500,-81.788000,0.000000,top
"FB4","100","L_0805_2012Metric",96.266000,-83.058000,180.000000,top
"FB5","100","L_0805_2012Metric",87.120000,-89.560000,0.000000,top
"FB6","100","L_0805_2012Metric",91.020000,-89.560000,180.000000,top
"FB7","100 @ 100MHz","L_0805_2012Metric",104.407500,-89.650000,180.000000,top
"HSE1","25Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",179.987879,-87.080036,135.000000,top
"R1","10k","R_0402_1005Metric",178.099904,-97.707851,315.000000,top
"R2","220","R_0402_1005Metric",177.670000,-88.690000,45.000000,top
"R3","180","R_0603_1608Metric",151.150000,-85.070000,0.000000,top
"R4","180","R_0603_1608Metric",186.944000,-87.376000,90.000000,top
"R5","2k2","R_0402_1005Metric",163.102169,-88.098270,225.000000,top
"R6","2k2","R_0402_1005Metric",161.744524,-89.484199,45.000000,top
"R7","47k","R_0805_2012Metric",94.488000,-81.026000,180.000000,top
"R8","47k","R_0805_2012Metric",104.394000,-79.756000,180.000000,top
"R9","47k","R_0805_2012Metric",91.020000,-91.560000,0.000000,top
"R10","47k","R_0805_2012Metric",87.120000,-91.560000,180.000000,top
"R11","330","R_0402_1005Metric",43.800000,-101.910000,90.000000,top
"R12","5.6k","R_0805_2012Metric",69.699500,-87.376000,180.000000,top
"R13","5.6k","R_0805_2012Metric",70.612000,-81.026000,0.000000,top
"R14","680","R_0805_2012Metric",82.550000,-82.550000,180.000000,top
"R15","180","R_0603_1608Metric",188.300000,-102.500000,90.000000,top
"R16","180","R_0603_1608Metric",155.400000,-99.900000,0.000000,top
"R17","10k","R_0402_1005Metric",66.012000,-103.544000,180.000000,top
"R18","10k","R_0402_1005Metric",73.840000,-108.600000,180.000000,top
"R19","10k","R_0402_1005Metric",131.040000,-103.875000,180.000000,top
"R20","10k","R_0402_1005Metric",138.475000,-108.350000,180.000000,top
"R21","10k","R_0402_1005Metric",87.560000,-103.810000,180.000000,top
"R22","10k","R_0402_1005Metric",109.130000,-103.695000,180.000000,top
"R23","10k","R_0402_1005Metric",95.590000,-108.530000,180.000000,top
"R24","10k","R_0402_1005Metric",117.050000,-108.585000,180.000000,top
"R25","10k","R_0402_1005Metric",56.134000,-81.024000,90.000000,top
"R26","10k","R_0402_1005Metric",54.610000,-102.362000,270.000000,top
"R27","10k","R_0402_1005Metric",200.406000,-88.900000,0.000000,top
"R28","10k","R_0402_1005Metric",204.470000,-83.058000,0.000000,top
"R29","10k","R_0402_1005Metric",196.754000,-103.896000,0.000000,top
"R30","10k","R_0402_1005Metric",193.706000,-103.886000,0.000000,top
"R31","5.6k","R_0805_2012Metric",73.048500,-83.566000,0.000000,top
"R32","5.6k","R_0805_2012Metric",71.882000,-90.170000,270.000000,top
